Group,Northing,Easting
"gp #1","280962,09","712617,51"
"gp #1","280962,69","712636,64"
"gp #1","280963,30","712656,73"
"gp #1","280962,37","712676,48"
"gp #1","280955,41","712617,27"
"gp #1","280955,29","712637,01"
"gp #1","280955,66","712656,89"
"gp #1","280954,93","712676,44"
"gp #2","280777,46","712891,36"
"gp #2","280777,35","712895,19"
"gp #2","280774,78","712891,22"
"gp #2","280775,25","712895,42"
"gp #2","280770,01","712891,13"
"gp #2","280770,09","712894,77"
"gp #2","280765,05","712891,42"
"gp #2","280765,33","712895,82"
"gp #2","280760,81","712889,41"
"gp #2","280761,13","712895,53"
"gp #2","280755,88","712891,43"
"gp #2","280755,81","712896,98"
"gp #2","280758,99","712884,66"
"gp #2","280754,80","712885,13"
"gp #2","280758,51","712880,26"
"gp #2","280754,33","712881,12"
"gp #2","280758,06","712876,64"
"gp #2","280754,25","712877,29"
"gp #3","280669,44","712957,77"
"gp #3","280670,27","712960,81"
"gp #3","280670,34","712964,45"
"gp #3","280666,17","712956,69"
"gp #3","280666,06","712960,52"
"gp #3","280665,75","712963,78"
"gp #3","280661,98","712956,97"
"gp #3","280662,45","712961,17"
"gp #3","280662,50","712963,85"
"gp #3","280657,56","712955,91"
"gp #3","280658,41","712959,72"
"gp #3","280658,46","712962,21"
"gp #3","280654,71","712956,74"
"gp #3","280654,78","712959,80"
"gp #3","280654,86","712963,44"